zip,registered_evs,station_count,l1_ports,l2_ports,dcfc_ports,land_sqmi,total_ports,evs_per_dcfc_port,evs_per_total_port,ev_density_per_sqmi
14782,8,0.0,0.0,0.0,0.0,54.233,0.0,,,0.14751166264082755
14784,2,0.0,0.0,0.0,0.0,27.474,0.0,,,0.07279609812914027
14785,1,0.0,0.0,0.0,0.0,0.194,0.0,,,5.154639175257731
14787,32,2.0,0.0,0.0,5.0,42.652,5.0,6.4,6.4,0.7502579011535215
14801,8,0.0,0.0,0.0,0.0,104.916,0.0,,,0.07625147737237409
14802,12,1.0,0.0,6.0,0.0,1.138,6.0,,2.0,10.54481546572935
14803,7,0.0,0.0,0.0,0.0,28.075,0.0,,,0.24933214603739984
14804,3,0.0,0.0,0.0,0.0,54.171,0.0,,,0.0553801849698178
14805,9,0.0,0.0,0.0,0.0,29.415,0.0,,,0.3059663437021928
14806,6,0.0,0.0,0.0,0.0,61.035,0.0,,,0.09830425165888425
14807,7,0.0,0.0,0.0,0.0,73.027,0.0,,,0.09585495775535076
14809,1,0.0,0.0,0.0,0.0,56.858,0.0,,,0.017587674557669984
14810,25,4.0,0.0,8.0,2.0,120.564,10.0,12.5,2.5,0.2073587472213928
14812,14,0.0,0.0,0.0,0.0,76.431,0.0,,,0.18317174968272038
14813,6,3.0,0.0,0.0,6.0,60.516,6.0,1.0,1.0,0.099147332936744
14814,7,0.0,0.0,0.0,0.0,8.273,0.0,,,0.8461259518916959
14815,2,0.0,0.0,0.0,0.0,18.122,0.0,,,0.11036309458117205
14816,3,0.0,0.0,0.0,0.0,3.764,0.0,,,0.7970244420828906
14817,57,0.0,0.0,0.0,0.0,40.764,0.0,,,1.3982926111274654
14818,8,3.0,0.0,3.0,4.0,38.513,7.0,2.0,1.1428571428571428,0.2077220678731857
14819,1,0.0,0.0,0.0,0.0,38.353,0.0,,,0.026073579641749015
14820,1,0.0,0.0,0.0,0.0,27.937,0.0,,,0.0357948240684397
14821,9,0.0,0.0,0.0,0.0,55.853,0.0,,,0.16113727105079403
